source,type,field,value,page,commentary
Key-Value Pairs,Structured Data,Company Name,Life360,N/A,"Life360 Reports Record Q4 and FY 2024 Results (Page 1, Confidence: 99.88%, Similarity: 100%)"
Key-Value Pairs,Structured Data,Revenue Range,$65 million - $75 million.,N/A,"8.5 million (Page 1, Confidence: 96.86%, Similarity: 100%)"
Text Chunk 1,Financial Data,Company_Name,Life360,N/A,"Life360 Reports Record Q4 and FY 2024 Results (Page 1, Confidence: 99.88%, Similarity: 100%)"
Text Chunk 1,Financial Data,Report_Date,"February 27, 2025",N/A,"February 27, 2025 (Page 1, Confidence: 99.37%, Similarity: 100%)"
Text Chunk 1,Financial Data,Fiscal_Year_End,"December 31, 2024",N/A,"fourth quarter and audited financial results for the full year ended December 31, 2024. Building on the (Page 1, Confidence: 99.94%, Similarity: 100%)"
Text Chunk 1,Financial Data,NASDAQ_Ticker,LIF,N/A,"Life360 Reports Record Q4 and FY 2024 Results (Page 1, Confidence: 99.88%, Similarity: 100%)"
Text Chunk 1,Financial Data,ASX_Ticker,360,N/A,"Life360 Reports Record Q4 and FY 2024 Results (Page 1, Confidence: 99.88%, Similarity: 100%)"
Text Chunk 1,Financial Data,Headquarters,"San Francisco, California",N/A,"SAN FRANCISCO, California. Life360, Inc. (""Life360"" or the ""Company"") (NASDAQ: LIF, (Page 1, Confidence: 98.96%, Similarity: 100%)"
Text Chunk 1,Financial Data,Financial_Status,Record-breaking results across key metrics,N/A,"momentum of prior quarters, the Company achieved record-breaking results across key metrics, including (Page 1, Confidence: 99.77%, Similarity: 100%)"
Text Chunk 1,Financial Data,Key_Metrics,"['MAUs', 'Paying Circles', 'Subscription Revenue', 'Annualized Monthly Revenue']",N/A,"momentum of prior quarters, the Company achieved record-breaking results across key metrics, including (Page 1, Confidence: 99.77%, Similarity: 100%)"
Text Chunk 2,Financial Data,Company_Name,Life360,N/A,"Life360 Reports Record Q4 and FY 2024 Results (Page 1, Confidence: 99.88%, Similarity: 100%)"
Text Chunk 2,Financial Data,Best_Holiday_Period,Q4 2024,N/A,"""Life360 made remarkable strides in Q4 2024, capping off the year with our best-ever holiday period and (Page 1, Confidence: 99.75%, Similarity: 100%)"
Text Chunk 2,Financial Data,IPO_Completion,U.S. IPO on Nasdaq,N/A,"opportunities, introduced a cutting-edge lineup of Tile devices, executed an award-winning brand campaign, forged a key strategic partnership with Hubble, and celebrated a significant milestone by completing our U.S. IPO to become publicly traded on Nasdaq. (Page 1, Confidence: 99.82%, Similarity: 91%)"
Text Chunk 2,Financial Data,Strategic_Focus_In_2025,"Reaching 150 million MAU, surpassing $1 billion in annual revenue, exceeding a 35% Adjusted EBITDA margin",N/A,"MAU, surpassing (Page 1, Confidence: 99.62%, Similarity: 100%)"
Text Chunk 2,Financial Data,CFO_Name,Russell Burke,N/A,"Life360 Chief Financial Officer Russell Burke added: ""On top of exceptional revenue growth, we continued (Page 1, Confidence: 99.57%, Similarity: 100%)"
Text Chunk 2,Financial Data,Positive_Net_Income,$8.5 million,N/A,"Achieved Positive Net Income in Q4 and Record Positive Adjusted EBITDA of $ (Page 1, Confidence: 99.86%, Similarity: 100%)"
Text Chunk 2,Financial Data,Total_Revenue,$371 million,N/A,"seventh consecutive quarter of positive Operating Cash Flow. For the full year, we generated total revenue (Page 1, Confidence: 99.93%, Similarity: 100%)"
Text Chunk 2,Financial Data,Revenue_Growth,22% YoY,N/A,"Life360 Chief Financial Officer Russell Burke added: ""On top of exceptional revenue growth, we continued (Page 1, Confidence: 99.57%, Similarity: 100%)"
Text Chunk 2,Financial Data,Operating_Expenses_Growth,14% YoY,N/A,", up 22% year-over-year, while keeping total operating expenses growth at 14% YoY, which (Page 1, Confidence: 99.63%, Similarity: 100%)"
Text Chunk 3,Financial Data,Company_Name,Not specified in text,N/A,"SAN FRANCISCO, California. Life360, Inc. (""Life360"" or the ""Company"") (NASDAQ: LIF, (Page 1, Confidence: 98.96%, Similarity: 85%)"
Text Chunk 3,Financial Data,Q4_24_Total_Revenue,$115.5 million,N/A,"115.5 million (Page 1, Confidence: 99.8%, Similarity: 100%)"
Text Chunk 3,Financial Data,Q4_24_Subscription_Revenue,$78.8 million,N/A,"Monthly Active Users (MAUs), Paying Circles, Subscription Revenue, and Annualized Monthly Revenue. (Page 1, Confidence: 99.57%, Similarity: 100%)"
Text Chunk 3,Financial Data,Q4_24_Core_Subscription_Revenue,$73.1 million,N/A,"Monthly Active Users (MAUs), Paying Circles, Subscription Revenue, and Annualized Monthly Revenue. (Page 1, Confidence: 99.57%, Similarity: 100%)"
Text Chunk 3,Financial Data,Q4_24_AMR,$367.6 million,N/A,"79.6 million (Page 1, Confidence: 99.86%, Similarity: 100%)"
Text Chunk 3,Financial Data,Q4_24_Net_Income,$8.5 million,N/A,"8.5 million (Page 1, Confidence: 96.86%, Similarity: 100%)"
Text Chunk 3,Financial Data,Other_Income,$0.6 million,N/A,", which includes other income of $ (Page 1, Confidence: 99.78%, Similarity: 100%)"
Text Chunk 3,Financial Data,Income_Tax_Benefit,Included but amount not specified,N/A,"estimate the annual effective tax rate, including factors such as valuation allowances against deferred tax assets, the recognition or de-recognition tax benefits related to uncertain tax position, if any, and changes in or the interpretation of tax laws in jurisdictions where the Company conducts b... (Page 2, Confidence: 99.47%, Similarity: 98%)"
Text Chunk 4,Financial Data,Financial_Performance_Q4_2024,"{'Adjusted_EBITDA': '$21.2 million', 'EBITDA': '$8.4 million', 'Operating_Cash_Flow': '$12.3 million'}",N/A,"2.3 million (Page 1, Confidence: 99.26%, Similarity: 100%)"
Text Chunk 4,Financial Data,Financial_Performance_Q4_2023,"{'Adjusted_EBITDA': '$8.9 million', 'EBITDA_Loss': '($2.0 million)'}",N/A,"2.3 million (Page 1, Confidence: 99.26%, Similarity: 100%)"
Text Chunk 4,Financial Data,Cash_Figure_Q4_2024,$160.5 million,N/A,"8.5 million (Page 1, Confidence: 96.86%, Similarity: 100%)"
Text Chunk 4,Financial Data,Cash_Increase_Reason,Net capital raised from U.S. IPO in Q2'24,N/A,"from Q4'23, which was primarily the result of net capital raised from the U.S. IPO in Q2'24. (Page 1, Confidence: 99.76%, Similarity: 100%)"
Text Chunk 4,Financial Data,Operating_Highlights_2025_Outlook,{'MAU_Net_Additions_Q4_2024': 'Global MAU net additions'},N/A,"Q4'24 Operating Highlights and 2025 Outlook (Page 1, Confidence: 99.95%, Similarity: 100%)"
Text Chunk 5,Financial Data,Company_Name,"Life360, Inc.",N/A,"SAN FRANCISCO, California. Life360, Inc. (""Life360"" or the ""Company"") (NASDAQ: LIF, (Page 1, Confidence: 98.96%, Similarity: 100%)"
Text Chunk 5,Financial Data,MAU_Total_Q4'24,79.6 million,N/A,"79.6 million (Page 1, Confidence: 99.86%, Similarity: 100%)"
Text Chunk 5,Financial Data,MAU_Growth_YoY,30%,N/A,"Total MAU increased 30% YoY to approximately (Page 1, Confidence: 99.82%, Similarity: 100%)"
Text Chunk 5,Financial Data,Paying_Circle_Net_Additions_Q4'24,69 thousand,N/A,"Record Annual Global Net Additions to Paying Circles of 457 thousand - Reaching Nearly (Page 1, Confidence: 99.26%, Similarity: 100%)"
Text Chunk 5,Financial Data,Paying_Circle_Growth_YoY,25%,N/A,"25% YoY to (Page 2, Confidence: 99.82%, Similarity: 100%)"
Text Chunk 5,Financial Data,ARPPC_Growth_YoY,6%,N/A,", up 36% YoY. (Page 1, Confidence: 97.43%, Similarity: 100%)"
Text Chunk 5,Financial Data,Company_Address,"1900 South Norfolk St, Suite 310, San Mateo, CA 94403",N/A,"ARBN 629 412 942 1900 South Norfolk St, Suite 310 San Mateo, CA 94403 investors.life360.com (Page 1, Confidence: 96.65%, Similarity: 100%)"
Text Chunk 5,Financial Data,Company_ARBN,629 412 942,N/A,"ARBN 629 412 942 1900 South Norfolk St, Suite 310 San Mateo, CA 94403 investors.life360.com (Page 1, Confidence: 96.65%, Similarity: 100%)"
Text Chunk 5,Financial Data,Product_Mix_Impact,Shift in product mix towards higher priced products in the U.S.,N/A,"shift in product mix towards higher priced products, as well as from legacy price increases and Dual Tier (Page 2, Confidence: 99.94%, Similarity: 100%)"
Text Chunk 6,Financial Data,Non_GAAP_Measures,"['Adjusted EBITDA', 'EBITDA']",N/A,"Adjusted EBITDA and EBITDA are Non-GAAP measures. For more information, including the definitions of Adjusted EBITDA and EBITDA, the use (Page 2, Confidence: 99.42%, Similarity: 100%)"
Text Chunk 6,Financial Data,Company_Name,Life360,N/A,"Life360 Reports Record Q4 and FY 2024 Results (Page 1, Confidence: 99.88%, Similarity: 100%)"
Text Chunk 6,Financial Data,Core_Subscription_Revenue_Definition,Subscription revenue derived from the Life360 mobile application and excludes non-core subscription,N/A,"Core subscription revenue is defined as subscription revenue derived from the Life360 mobile application and excludes non-core subscription (Page 2, Confidence: 99.81%, Similarity: 100%)"
Text Chunk 6,Financial Data,Income_Tax_Reporting_Standard,"ASC 740-270, Income Taxes, Interim Reporting",N/A,"for the full fiscal year in accordance with ASC 740-270, Income Taxes, Interim Reporting. ASC 740-270-25-2 requires that an annual effective tax (Page 2, Confidence: 99.67%, Similarity: 100%)"
Text Chunk 6,Financial Data,Tax_Effective_Rate_Application,Requires an annual effective tax rate to be applied to year-to-date income (loss) in interim periods,N/A,"rate be determined and such annual effective rate be applied to year to date income (loss) in interim periods. The effective tax rate in any quarter (Page 2, Confidence: 99.93%, Similarity: 100%)"
Text Chunk 7,Financial Data,Key_Performance_Indicator,Monthly Active Users (MAU),N/A,"Monthly Active Users Reached Approximately (Page 1, Confidence: 99.86%, Similarity: 100%)"
Text Chunk 7,Financial Data,Global_MAU_2024_Q4,79.6 million,N/A,"79.6 million (Page 1, Confidence: 99.86%, Similarity: 100%)"
Text Chunk 7,Financial Data,Global_MAU_2023_Q4,61.4 million,N/A,"8.4 million (Page 1, Confidence: 98.6%, Similarity: 100%)"
Text Chunk 7,Financial Data,Global_Growth_30%,30% increase YoY,N/A,"Average Revenue Per Paying Circle (""ARPPC"") increased 6% YoY due mainly to impacts from a U.S. (Page 2, Confidence: 99.83%, Similarity: 95%)"
Text Chunk 7,Financial Data,US_MAU_2024_Q4,43.7 million,N/A,"$371 million (Page 1, Confidence: 99.63%, Similarity: 97%)"
Text Chunk 7,Financial Data,US_MAU_2023_Q4,36.8 million,N/A,"2.8 million (Page 1, Confidence: 99.55%, Similarity: 100%)"
Text Chunk 7,Financial Data,US_Growth_19%,19% increase YoY,N/A,"Average Revenue Per Paying Circle (""ARPPC"") increased 6% YoY due mainly to impacts from a U.S. (Page 2, Confidence: 99.83%, Similarity: 95%)"
Text Chunk 8,Financial Data,Region,"['International', 'ANZ', 'U.S.']",N/A,"International (Page 2, Confidence: 99.74%, Similarity: 100%)"
Text Chunk 8,Financial Data,Growth Percentages,"['35%', '25%', '23%', '33%']",N/A,
Text Chunk 8,Financial Data,Metrics,"['24.6', '36.0', '2.0', '2.7', '6', '2.3', '1.8', '1.3', '1.6', '0.5', '0.6']",N/A,
Text Chunk 8,Financial Data,Corporate Entity,Paying Circles - Global,N/A,"Paying Circles - Global6 (Page 2, Confidence: 95.53%, Similarity: 100%)"
Text Chunk 9,Financial Data,Company_Name,Life360,N/A,"Life360 Reports Record Q4 and FY 2024 Results (Page 1, Confidence: 99.88%, Similarity: 100%)"
Text Chunk 9,Financial Data,Revenue_Current,$131.76,N/A,"Annualized Monthly Revenue increased 34% Year-Over-Year to $ (Page 1, Confidence: 99.79%, Similarity: 83%)"
Text Chunk 9,Financial Data,Revenue_Previous,$124.17,N/A,
Text Chunk 9,Financial Data,Revenue_Growth,6%,N/A,"Life360 Chief Financial Officer Russell Burke added: ""On top of exceptional revenue growth, we continued (Page 1, Confidence: 99.57%, Similarity: 100%)"
Text Chunk 9,Financial Data,Subscriptions_Growth,19%,N/A,"Subscriptions (Page 2, Confidence: 89.25%, Similarity: 100%)"
Text Chunk 9,Financial Data,ARPPS_Current,$110.43,N/A,
Text Chunk 9,Financial Data,ARPPS_Previous,$102.17,N/A,
Text Chunk 9,Financial Data,Net_Hardware_Units_Current,2.4,N/A,"Net hardware units shipped 11 (Page 2, Confidence: 96.81%, Similarity: 97%)"
Text Chunk 9,Financial Data,Net_Hardware_Units_Previous,2.9,N/A,"Net hardware units shipped 11 (Page 2, Confidence: 96.81%, Similarity: 98%)"
Text Chunk 9,Financial Data,ASP_Current,$1.7,N/A,
Text Chunk 9,Financial Data,ASP_Previous,$1.9,N/A,
Text Chunk 10,Financial Data,Company_Name,Life360,N/A,"Life360 Reports Record Q4 and FY 2024 Results (Page 1, Confidence: 99.88%, Similarity: 100%)"
Text Chunk 10,Financial Data,AMR_FY2023,$367.6,N/A,"367.6 million (Page 1, Confidence: 99.79%, Similarity: 93%)"
Text Chunk 10,Financial Data,AMR_Growth_FY2024,34%,N/A,"Annualized Monthly Revenue increased 34% Year-Over-Year to $ (Page 1, Confidence: 99.79%, Similarity: 100%)"
Text Chunk 10,Financial Data,ARPPC_FY2023,$121.09,N/A,
Text Chunk 10,Financial Data,ARPPC_Projected_FY2024,$128.00,N/A,
Text Chunk 10,Financial Data,ARPPC_Current,$788,N/A,"Average Revenue per Paying Circle (ARPPC)788 (Page 2, Confidence: 89.39%, Similarity: 95%)"
Text Chunk 11,Financial Data,Company_Name,"Life360, Inc.",N/A,"SAN FRANCISCO, California. Life360, Inc. (""Life360"" or the ""Company"") (NASDAQ: LIF, (Page 1, Confidence: 98.96%, Similarity: 100%)"
Text Chunk 11,Financial Data,Company_ARBN,629 412 942,N/A,"ARBN 629 412 942 1900 South Norfolk St, Suite 310 San Mateo, CA 94403 investors.life360.com (Page 1, Confidence: 96.65%, Similarity: 100%)"
Text Chunk 11,Financial Data,Company_Address,"1900 South Norfolk St, Suite 310, San Mateo, CA 94403",N/A,"ARBN 629 412 942 1900 South Norfolk St, Suite 310 San Mateo, CA 94403 investors.life360.com (Page 1, Confidence: 96.65%, Similarity: 100%)"
Text Chunk 11,Financial Data,Currency,U.S. dollars,N/A,"Note: The financial information in this announcement may not add or recalculate due to rounding. All references to $ are to U.S. dollars. (Page 1, Confidence: 99.7%, Similarity: 100%)"
Text Chunk 11,Financial Data,Website,investors.life360.com,N/A,"ARBN 629 412 942 1900 South Norfolk St, Suite 310 San Mateo, CA 94403 investors.life360.com (Page 1, Confidence: 96.65%, Similarity: 100%)"
Document Text,General Commentary,Text Segment 1,"Francisco-based leader in family safety and connection, today announced unaudited financial results for the (Page 1, Confidence: 99.84%)",N/A,Unmatched document content
Document Text,General Commentary,Text Segment 2,"achieving record-breaking annual results in MAU and subscribers, while continuing to make progress with (Page 1, Confidence: 99.84%)",N/A,Unmatched document content
Document Text,General Commentary,Text Segment 3,"families safe, connected to the people, pets, and things they love, and helping make everyday life better, we are uniquely positioned to tap into vast global market potential and drive sustained growth for years to come."" (Page 1, Confidence: 99.71%)",N/A,Unmatched document content
Document Text,General Commentary,Text Segment 4,", and our ninth consecutive quarter of positive Adjusted EBITDA¹ and (Page 1, Confidence: 96.86%)",N/A,Unmatched document content
Document Text,General Commentary,Text Segment 5,"drove our EBITDA and Adjusted EBITDA results above the high end of our guidance ranges. Looking (Page 1, Confidence: 99.76%)",N/A,Unmatched document content
